2ndRef_1,Temp_1,SC_1
1.373479799949564,65535,22768,10814
6.383803899982013,65535,22763,10818
11.393550099921413,65535,22769,10814
16.403870499925688,65535,22769,10815
21.40156319993548,65535,22770,10815
26.408682599896565,65535,22774,10814
31.4183557999786,65535,22773,10813
36.41741569992155,65535,22775,10814
41.427651799982414,65535,22781,10814
46.437137899920344,65535,22784,10813
51.44694959989283,65535,22784,10814
56.45818969991524,65535,22788,10812
61.46841729991138,65535,22782,10814
66.47376669989899,65535,22785,10815
71.48511889996007,65535,22784,10816
76.49466509988997,65535,22786,10816
81.49318349990062,65535,22786,10815
86.50217809993774,65535,22791,10815
91.49715579999611,65535,22793,10815
96.50649780000094,65535,22797,10816
101.50225929997396,65535,22797,10816
106.52535739995074,65535,22800,10817
111.52158329996746,65535,22804,10815
116.53438139997888,65535,22815,10819
121.54272739996668,65535,22827,10817
126.55380479991436,65535,22833,10817
131.56656009994913,65535,22842,10818
136.57572079997044,65535,22858,10819
141.5869795999024,65535,22867,10822
146.59459799993783,65535,22880,10821
151.60797459993046,65535,22886,10819
156.61425079999026,65535,22899,10819
161.62395749997813,65535,22914,10819
166.6349846998928,65535,22921,10819
171.63069769996218,65535,22927,10820
176.64284989994485,65535,22933,10812
181.65048309997655,65535,22930,10811
186.66030709992629,65535,22925,10812
191.65889659989625,65535,22916,10812
196.66979179996997,65535,22904,10812
201.68077689991333,65535,22896,10810
206.6872864998877,65535,22889,10811
211.6972063999856,65535,22881,10812
216.6953926999122,65535,22878,10811
221.7061095999088,65535,22872,10811
226.71674939990044,65535,22874,10818
231.72458339994773,65535,22891,10818
236.73313469998538,65535,22913,10821
241.74449829990044,65535,22934,10820
246.75381659995764,65535,22952,10820
251.7508058999665,65535,22972,10819
256.775767599931,65535,22984,10813
261.7748606998939,65535,22991,10813
266.78492739994545,65535,22984,10818
271.7946716999868,65535,22977,10820
276.806405399926,65535,22995,10820
281.8160706999479,65535,23009,10819
286.82646279991604,65535,23024,10820
291.83700769999996,65535,23038,10820
296.8470455999486,65535,23048,10823
301.853707299917,65535,23064,10822
306.8642249999102,65535,23076,10823
311.87464389996603,65535,23085,10823
316.8728114999831,65535,23102,10822
321.8833554999437,65535,23109,10822
326.89438029995654,65535,23117,10822
331.90463489992544,65535,23130,10813
336.9147633999819,65535,23116,10813
341.92475579993334,65535,23110,10812
346.9316640999168,65535,23102,10822
351.9427217999473,65535,23090,10821
356.94034579989966,65535,23101,10822
361.9504576999461,65535,23114,10824
366.96214919991326,65535,23124,10823
371.9720776999602,65535,23136,10825
376.9829649999738,65535,23146,10822
381.99275109998416,65535,23153,10824
387.0034857999999,65535,23163,10822
392.01183319999836,65535,23174,10824
397.0247395999031,65535,23182,10824
402.033990399912,65535,23189,10824
407.0449409999419,65535,23197,10822
412.05450909992214,65535,23204,10823
417.06107820000034,65535,23215,10822
422.0912716999883,65535,23214,10824
422.0937116999412,65535,23213,10824
422.1038601999171,65535,23212,10823
422.1210620999336,65535,23211,10823
422.13714959996287,65535,23214,10824
422.15286489995196,65535,23212,10824
422.1692897999892,65535,23210,10825
422.18475419993047,65535,23211,10825
422.20083769992925,65535,23210,10823
422.21686029993,65535,23209,10824
422.2328931998927,65535,23210,10824
422.26339719991665,65535,23212,10824
422.28511989989784,65535,23211,10824
422.30799929995555,65535,23211,10824
422.3130528999027,65535,23210,10824
422.3290281998925,65535,23212,10823
422.34563519991934,65535,23209,10824
422.36208339990117,65535,23211,10821
422.37977259990294,65535,23209,10823
422.39645869995,65535,23212,10825
422.41225669998676,65535,23211,10824
422.4275224999292,65535,23212,10823
422.4436048999196,65535,23212,10825
422.47161549993325,65535,23211,10825
422.4875593999168,65535,23212,10823
422.50510249997023,65535,23212,10823
422.5227634999901,65535,23214,10823
422.5393382998882,65535,23214,10824
422.5545759999659,65535,23212,10822
422.57181319990195,65535,23211,10824
422.5877808999503,65535,23212,10823
422.6033672998892,65535,23211,10823
422.61915079993196,65535,23209,10824
422.6352687999606,65535,23208,10825
422.65202639997005,65535,23209,10824
422.6796499999473,65535,23208,10823
422.69548829994164,65535,23207,10823
422.7128000999801,65535,23207,10823
422.73056849988643,65535,23208,10823
422.7477966999868,65535,23208,10824
422.764016799978,65535,23208,10826
422.77995699993335,65535,23210,10825
422.796614699997,65535,23209,10823
422.8115302999504,65535,23210,10824
422.82790679996833,65535,23207,10823
422.84429599996656,65535,23209,10824
422.85962189990096,65535,23205,10825
422.88791909988504,65535,23212,10823
422.9039351999527,65535,23208,10823
422.92153459996916,65535,23208,10826
422.9398815999739,65535,23208,10824
422.957084499998,65535,23208,10824
422.97205379989464,65535,23208,10825
422.98801199998707,65535,23208,10825
423.0041835999582,65535,23206,10825
423.0200807999354,65535,23208,10824
423.035275299917,65535,23209,10823
423.0520597998984,65535,23210,10823
423.0675839999458,65535,23208,10823
423.1150514999172,65535,23209,10824
423.1203661999898,65535,23208,10823
423.12934159999713,65535,23211,10823
423.14581049990375,65535,23211,10824
423.1622216999531,65535,23212,10824
423.17929669993464,65535,23211,10823
423.19604919990525,65535,23210,10823
423.2110758998897,65535,23212,10823
423.22701249993406,65535,23210,10824
423.2419036999345,65535,23209,10824
423.2587383999489,65535,23211,10824
423.2745968999807,65535,23211,10823
423.3039606999373,65535,23211,10823
423.3200648999773,65535,23212,10824
423.33790519996546,65535,23211,10824
423.35581739991903,65535,23209,10823
423.37207029992715,65535,23211,10826
423.3880488999421,65535,23212,10825
423.4038013999816,65535,23214,10823
423.419826899888,65535,23211,10825
423.4359305999242,65535,23212,10824
423.45236909994856,65535,23212,10822
423.4684955999255,65535,23210,10824
423.48447159992065,65535,23212,10824
423.51221869990695,65535,23210,10823
423.52805949992035,65535,23209,10822
423.54695869993884,65535,23210,10825
423.5645855999319,65535,23212,10823
423.5816153999185,65535,23209,10822
423.59631869988516,65535,23212,10824
423.6125331999501,65535,23211,10823
423.6274472998921,65535,23208,10822
423.64393909997307,65535,23210,10825
423.66012089990545,65535,23210,10824
423.675654499908,65535,23211,10824
423.6901096999645,65535,23214,10825
423.720197299961,65535,23209,10823
423.7362599999178,65535,23207,10822
423.753844199935,65535,23211,10823
423.7715160999214,65535,23211,10825
